STATE,YEAR,TOTAL_REVENUE,FEDERAL_REVENUE,STATE_REVENUE,LOCAL_REVENUE,TOTAL_EXPENDITURE,PROGRAM_CURRENT_EXPENDITURE,INSTRUCTION_EXPENDITURE,SUPPORT_SERVICES_EXPENDITURE,PROGRAM_OTHER_EXPENDITURE,PROGRAM_NON_ELSEC_EXPENDITURE,CAPITAL_OUTLAY_EXPENDITURE
Alabama,2015,7360222,795238,4080167,2484817,7501799,6711257,3817479,2414860,478918,115365,510091
Alaska,2015,2920986,344111,2026555,550320,2968341,2637654,1484610,1068849,84195,8571,281914
Arizona,2015,8230507,1093834,3232013,3904660,7902600,7128545,3846357,2880184,402004,76872,497662
Arkansas,2015,5308625,581412,4075118,652095,5350543,4653767,2620399,1772639,260729,29667,511556
California,2015,78248042,7556365,42360470,28331207,78365958,65176139,38951948,23501848,2722343,1031972,6373893
Colorado,2015,9648297,715254,4354525,4578518,9557682,8072509,4578938,3170482,323089,74174,923360
Connecticut,2015,11099837,444073,4353546,6302218,10542667,9562158,6006275,3233901,321982,40959,530491
Delaware,2015,2017075,137544,1142333,737198,1975093,1730614,1072395,583951,74268,48473,103129
District of Columbia,2015,1382282,146366,0,1235916,1360942,972546,557345,379854,35347,6494,381902
Florida,2015,26971491,3118041,10661586,13191864,27277049,24366656,14931173,8186082,1249401,566777,1681665
Georgia,2015,18584666,1831221,8310872,8442573,18501103,16373102,10081483,5324072,967547,28730,1879063
Hawaii,2015,2703683,259390,2381547,62746,2521004,2344496,1377713,835930,130853,14707,161801
Idaho,2015,2167967,232449,1381205,554313,2029520,1897834,1130814,663005,104015,4669,75680
Illinois,2015,32096832,2262192,11858968,17975672,32410033,28416707,17313173,10279691,823843,168232,2056951
Indiana,2015,12456571,929878,7676341,3850352,11378564,9731417,5537406,3712136,481875,65641,948358
Iowa,2015,6714410,458457,3460798,2795155,6772654,5530104,3383909,1912222,233973,28294,842674
Kansas,2015,5991731,475273,3967809,1548649,6175724,4991214,3051755,1692953,246506,4078,963767
Kentucky,2015,7548871,848963,4176753,2523155,7554887,6630301,3807748,2417226,405327,63367,600859
Louisiana,2015,8448743,1235580,3480365,3732798,8437263,7277466,4100906,2774314,402246,13820,780338
Maine,2015,2739589,183883,1060925,1494781,2596180,2400174,1406898,910381,82895,26646,55686
Maryland,2015,14491642,819162,6267624,7404856,13882823,12405309,7686024,4358416,360869,25235,1050651
Massachusetts,2015,16985185,778939,6808436,9397810,16972319,15251164,9774884,5043032,433248,64632,1034539
Michigan,2015,19025996,1582706,10510346,6932944,17742903,15443890,9040821,5839572,563497,268377,967476
Minnesota,2015,11684249,629909,7567199,3487141,11969872,9643092,6257807,2933999,451286,442036,1328863
Mississippi,2015,4592343,672366,2324855,1595122,4624539,4144878,2350872,1525340,268666,16451,407791
Missouri,2015,10623391,948600,4441091,5233700,10540353,9058639,5387766,3266781,404092,211074,869078
Montana,2015,1804339,214980,851068,738291,1804841,1593004,940488,581694,70822,9604,160885
Nebraska,2015,4248695,344382,1350116,2554197,4283846,3730379,2446701,1102622,181056,2011,449287
Nevada,2015,4345419,395630,2744606,1205183,4183085,3781436,2170424,1459504,151508,22880,205794
New Hampshire,2015,3093061,164905,1000063,1928093,3044720,2705033,1697165,938368,69500,6081,125475
New Jersey,2015,29335237,1154004,11423305,16757928,28809725,25593581,15339450,9414336,839795,431763,1290946
New Mexico,2015,3789651,499789,2595682,694180,3846641,3181935,1773801,1256303,151831,2604,587243
New York,2015,63712218,2869847,25900858,34941513,65094591,58893505,41954260,15714795,1224450,316401,4536014
North Carolina,2015,13146934,1589570,8172685,3384679,14060699,12727213,7960222,4082387,684604,62090,698847
North Dakota,2015,1644533,158373,942772,543388,1804762,1412741,825445,483984,103312,7524,303053
Ohio,2015,24378660,1676820,10169760,12532080,22561728,19592734,11620080,7324444,648210,274522,1750785
Oklahoma,2015,6121188,688990,2993050,2439148,6198654,5443835,3000894,2055342,387599,26487,663768
Oregon,2015,7111710,577106,3678001,2856603,7011609,6142378,3650855,2272382,219141,30827,477516
Pennsylvania,2015,29967185,1857885,10532452,17576848,29690645,25163988,16058338,8196747,908903,141407,1663209
Rhode Island,2015,2367068,184718,908963,1273387,2326473,2170545,1322055,792525,55965,34244,50889
South Carolina,2015,8759944,836137,4094766,3829041,8783362,7424804,4123140,2893109,408555,38464,928112
South Dakota,2015,1415149,206853,425614,782682,1464781,1198565,709363,426257,62945,7183,222592
Tennessee,2015,9455920,1122775,4385403,3947742,9562527,8678663,5343272,2862499,472892,87805,553396
Texas,2015,55582029,5830972,20967429,28783628,56255791,44349662,26745844,15145619,2458199,325571,6765205
Utah,2015,4705084,400213,2487937,1816934,4537962,3773234,2367650,1166728,238856,32544,606254
Vermont,2015,1996795,105333,1546600,344862,1969415,1598203,983532,566649,48022,13849,58856
Virginia,2015,15857524,1012205,6240349,8604970,16113212,14385410,8755896,5075509,554005,73468,1086722
Washington,2015,13709442,1036422,8293812,4379208,13630138,11511510,6508964,4510672,491874,55052,1601069
West Virginia,2015,3478401,362959,1979466,1135976,3466981,3178031,1819903,1161944,196184,37652,232738
Wisconsin,2015,11637376,814385,5869265,4953726,11553677,9802765,5723474,3691809,387482,125920,894823
Wyoming,2015,1962874,120290,1116917,725667,1942406,1507006,895910,565489,45607,6913,409425
